district,site_name,state
Alluri Sitharama Raju,Araku Valley,Andhra Pradesh
Alluri Sitharama Raju,Borra Caves,Andhra Pradesh
Alluri Sitharama Raju,Padmapuram Gardens,Andhra Pradesh
Alluri Sitharama Raju,Tribal Museum Araku,Andhra Pradesh
Alluri Sitharama Raju,Chaparai Waterfalls,Andhra Pradesh
Anakapalli,Kondakarla Ava,Andhra Pradesh
Anakapalli,Bojjanakonda,Andhra Pradesh
Anakapalli,Thotlakonda,Andhra Pradesh
Anakapalli,Pavuralakonda,Andhra Pradesh
Anakapalli,Kambalakonda Wildlife Sanctuary,Andhra Pradesh
Ananthapuramu,Lepakshi Temple,Andhra Pradesh
Ananthapuramu,Gooty Fort,Andhra Pradesh
Ananthapuramu,Penukonda Fort,Andhra Pradesh
Ananthapuramu,Thimmamma Marrimanu,Andhra Pradesh
Ananthapuramu,Bugga Ramalingeswara Temple,Andhra Pradesh
Annamayya,Horsley Hills,Andhra Pradesh
Annamayya,Vontimitta Temple,Andhra Pradesh
Annamayya,Gandikota,Andhra Pradesh
Annamayya,Tallapaka,Andhra Pradesh
Annamayya,Siddavatam Fort,Andhra Pradesh
Bapatla,Suryalanka Beach,Andhra Pradesh
Bapatla,Bhavanarayana Swamy Temple,Andhra Pradesh
Bapatla,Chandole Heritage Sites,Andhra Pradesh
Bapatla,Durgamma Temple,Andhra Pradesh
Bapatla,Ramapuram Beach,Andhra Pradesh
Chittoor,Tirupati Temple,Andhra Pradesh
Chittoor,Sri Kapileswara Swamy Temple,Andhra Pradesh
Chittoor,Chandragiri Fort,Andhra Pradesh
Chittoor,Kailasakona Waterfalls,Andhra Pradesh
Chittoor,Kanipakam Temple,Andhra Pradesh
Dr. B. R. Ambedkar Konaseema,Draksharamam Temple,Andhra Pradesh
Dr. B. R. Ambedkar Konaseema,Antarvedi Temple,Andhra Pradesh
Dr. B. R. Ambedkar Konaseema,Ryali Jaganmohini Kesava Temple,Andhra Pradesh
Dr. B. R. Ambedkar Konaseema,Mukkamala Temple,Andhra Pradesh
Dr. B. R. Ambedkar Konaseema,Konaseema Backwaters,Andhra Pradesh
East Godavari,Rajamahendravaram Godavari Ghats,Andhra Pradesh
East Godavari,Dowleswaram Barrage,Andhra Pradesh
East Godavari,Kadiyapulanka Gardens,Andhra Pradesh
East Godavari,Pattiseema,Andhra Pradesh
East Godavari,Kotilingeswara Temple,Andhra Pradesh
Eluru,Dwaraka Tirumala Temple,Andhra Pradesh
Eluru,Kolleru Lake,Andhra Pradesh
Eluru,Guntupalli Caves,Andhra Pradesh
Eluru,Kondapalli Fort,Andhra Pradesh
Eluru,Polavaram Project,Andhra Pradesh
Guntur,Amaravati Stupa,Andhra Pradesh
Guntur,Undavalli Caves,Andhra Pradesh
Guntur,Mangalagiri Panakala Narasimha Swamy Temple,Andhra Pradesh
Guntur,Kondaveedu Fort,Andhra Pradesh
Guntur,Uppalapadu Bird Sanctuary,Andhra Pradesh
Kakinada,Coringa Wildlife Sanctuary,Andhra Pradesh
Kakinada,Uppada Beach,Andhra Pradesh
Kakinada,Hope Island,Andhra Pradesh
Kakinada,Pithapuram Kukkuteswara Temple,Andhra Pradesh
Kakinada,Draksharamam,Andhra Pradesh
Krishna,Kondapalli Fort,Andhra Pradesh
Krishna,Hamsaladeevi Beach,Andhra Pradesh
Krishna,Mopidevi Temple,Andhra Pradesh
Krishna,Kuchipudi Village,Andhra Pradesh
Krishna,Manginapudi Beach,Andhra Pradesh
Kurnool,Belum Caves,Andhra Pradesh
Kurnool,Oravakallu Rock Garden,Andhra Pradesh
Kurnool,Konda Reddy Fort,Andhra Pradesh
Kurnool,Yaganti Temple,Andhra Pradesh
Kurnool,Mahanandi Temple,Andhra Pradesh
Nandyal,Ahobilam,Andhra Pradesh
Nandyal,Mahanandi Temple,Andhra Pradesh
Nandyal,Yaganti Temple,Andhra Pradesh
Nandyal,Rollapadu Wildlife Sanctuary,Andhra Pradesh
Nandyal,Srisailam,Andhra Pradesh
NTR,Kanaka Durga Temple,Andhra Pradesh
NTR,Prakasam Barrage,Andhra Pradesh
NTR,Bhavani Island,Andhra Pradesh
NTR,Gandhi Hill,Andhra Pradesh
NTR,Undavalli Caves,Andhra Pradesh
Palnadu,Kotappakonda Temple,Andhra Pradesh
Palnadu,Ethipothala Falls,Andhra Pradesh
Palnadu,Nagarjunakonda,Andhra Pradesh
Palnadu,Kondaveedu Fort,Andhra Pradesh
Palnadu,Dachepalli Heritage Sites,Andhra Pradesh
Parvathipuram Manyam,Salur Ghats,Andhra Pradesh
Parvathipuram Manyam,Jalaput Reservoir,Andhra Pradesh
Parvathipuram Manyam,Thotapalli Barrage,Andhra Pradesh
Parvathipuram Manyam,Panchamukhi Temple,Andhra Pradesh
Parvathipuram Manyam,Manyam Tribal Museum,Andhra Pradesh
Prakasam,Chirala Beach,Andhra Pradesh
Prakasam,Vodarevu Beach,Andhra Pradesh
Prakasam,Gundalakamma Reservoir,Andhra Pradesh
Prakasam,Kothapatnam Beach,Andhra Pradesh
Prakasam,Markapuram Chenna Kesava Temple,Andhra Pradesh
Sri Potti Sriramulu Nellore,Ranganathaswamy Temple Nellore,Andhra Pradesh
Sri Potti Sriramulu Nellore,Pulicat Lake,Andhra Pradesh
Sri Potti Sriramulu Nellore,Mypadu Beach,Andhra Pradesh
Sri Potti Sriramulu Nellore,Somasila Dam,Andhra Pradesh
Sri Potti Sriramulu Nellore,Nellapattu Bird Sanctuary,Andhra Pradesh
Sri Sathya Sai,Puttaparthi Prasanthi Nilayam,Andhra Pradesh
Sri Sathya Sai,Lepakshi,Andhra Pradesh
Sri Sathya Sai,Penukonda Fort,Andhra Pradesh
Sri Sathya Sai,Kadiri Lakshmi Narasimha Temple,Andhra Pradesh
Sri Sathya Sai,Gooty Fort,Andhra Pradesh
Srikakulam,Arasavalli Sun Temple,Andhra Pradesh
Srikakulam,Srikurmam Temple,Andhra Pradesh
Srikakulam,Kalingapatnam Beach,Andhra Pradesh
Srikakulam,Baruva Beach,Andhra Pradesh
Srikakulam,Salihundam Buddhist Site,Andhra Pradesh
Tirupati,Sri Venkateswara Temple,Andhra Pradesh
Tirupati,Talakona Waterfalls,Andhra Pradesh
Tirupati,Chandragiri Fort,Andhra Pradesh
Tirupati,Kapila Theertham,Andhra Pradesh
Tirupati,Sri Govindaraja Swamy Temple,Andhra Pradesh
Visakhapatnam,RK Beach,Andhra Pradesh
Visakhapatnam,Kailasagiri,Andhra Pradesh
Visakhapatnam,Submarine Museum,Andhra Pradesh
Visakhapatnam,Simhachalam Temple,Andhra Pradesh
Visakhapatnam,Yarada Beach,Andhra Pradesh
Vizianagaram,Vizianagaram Fort,Andhra Pradesh
Vizianagaram,Bobbili Fort,Andhra Pradesh
Vizianagaram,Ramatirthalu,Andhra Pradesh
Vizianagaram,Punyagiri Temple,Andhra Pradesh
Vizianagaram,Gantyada Heritage Sites,Andhra Pradesh
West Godavari,Dwaraka Tirumala,Andhra Pradesh
West Godavari,Bhimavaram Somarama Temple,Andhra Pradesh
West Godavari,Perupalem Beach,Andhra Pradesh
West Godavari,Kolleru Lake,Andhra Pradesh
West Godavari,Palakollu Ksheerarama Temple,Andhra Pradesh
YSR,Gandikota,Andhra Pradesh
YSR,Ameen Peer Dargah,Andhra Pradesh
YSR,Pushpagiri Temple,Andhra Pradesh
YSR,Vontimitta Temple,Andhra Pradesh
YSR,Sidhout Fort,Andhra Pradesh
