district,site_name,state
Baksa,Manas National Park,Assam
Baksa,Phulbari,Assam
Baksa,Banda Lake,Assam
Barpeta,Barpeta Satra,Assam
Barpeta,Brahmaputra River,Assam
Barpeta,Chakradhara Temple,Assam
Bongaigaon,Bhergaon,Assam
Bongaigaon,Bongaigaon Refinery,Assam
Bongaigaon,Sankardev Kalakshetra,Assam
Cachar,Dibru-Saikhowa National Park,Assam
Cachar,Badarpur,Assam
Cachar,Barak Valley,Assam
Charaideo,Ahom Kingdom Ruins,Assam
Charaideo,Monuments of Sibsagar,Assam
Charaideo,Tai-Phake Village,Assam
Chirang,Chirang Wildlife Sanctuary,Assam
Chirang,Kajim,Assam
Chirang,Chakradhara Temple,Assam
Darrang,Hajo Powa Mecca,Assam
Darrang,Mahapurush Srimanta Sankardev,Assam
Darrang,Deoparbat,Assam
Dhemaji,Bordua,Assam
Dhemaji,Majuli Island,Assam
Dhemaji,Lali Pani Falls,Assam
Dhubri,Dhubri Fort,Assam
Dhubri,Mahamaya Temple,Assam
Dhubri,Gurdwara Sri Guru Tegh Bahadur,Assam
Dibrugarh,Dibrugarh Tea Gardens,Assam
Dibrugarh,Borpukhuri,Assam
Dibrugarh,Naharkatiya,Assam
Dima Hasao,Haflong Hills,Assam
Dima Hasao,Senga Falls,Assam
Dima Hasao,Jatinga Mystery,Assam
Goalpara,Goalpara Fort,Assam
Goalpara,Dudhnai River,Assam
Goalpara,Sri Sri Kalika Temple,Assam
Golaghat,Kaziranga National Park,Assam
Golaghat,Hollongapar Gibbon Sanctuary,Assam
Golaghat,Mahapurushia Monastery,Assam
Hailakandi,Hailakandi Sadar,Assam
Hailakandi,Haor,Assam
Hailakandi,Kachari Fort,Assam
Jorhat,Jorhat Gymkhana Club,Assam
Jorhat,Rangghar,Assam
Jorhat,Thengal Bhawan,Assam
Kamrup,Umananda Temple,Assam
Kamrup,Basistha Ashram,Assam
Kamrup,Assam State Museum,Assam
Kamrup Metropolitan,Assam State Zoo,Assam
Kamrup Metropolitan,Madhavdev Tank,Assam
Kamrup Metropolitan,Nehru Park,Assam
Karbi Anglong,Kaziranga National Park,Assam
Karbi Anglong,Langvasa River,Assam
Karbi Anglong,Diphu,Assam
Karimganj,Karimganj Fort,Assam
Karimganj,Hailakandi,Assam
Karimganj,Kamala Sagar Waterfall,Assam
Kokrajhar,Buxa Tiger Reserve,Assam
Kokrajhar,Manas National Park,Assam
Kokrajhar,Todka,Assam
Lakhimpur,Kaziranga National Park,Assam
Lakhimpur,Mahadev Temple,Assam
Lakhimpur,Sadiya,Assam
Majuli,Majuli Island,Assam
Majuli,Kamala Temple,Assam
Majuli,Garmur Satra,Assam
Nagaon,Numaligarh Refinery,Assam
Nagaon,Kapilabari Eco Camp,Assam
Nagaon,Charaideo Temple,Assam
Sivasagar,Joy Dol,Assam
Sivasagar,Mahabatir Devalaya,Assam
Sivasagar,Garhgaon Palace,Assam
Sonitpur,Dehing Patkai Wildlife Sanctuary,Assam
Sonitpur,Bhuyan Pathar,Assam
Sonitpur,Orang National Park,Assam
Tinsukia,Dibru-Saikhowa National Park,Assam
Tinsukia,Moran,Assam
Tinsukia,Digboi Oil Refinery,Assam
Dhemaji,Borpatra Patkai,Assam
Dhemaji,Jonai River,Assam
Dhemaji,Aabhasa,Assam
Charaideo,Monuments of Sipajhar,Assam
Charaideo,Lalung,Assam
Charaideo,Rajgarh,Assam
Chirang,Manas National Park,Assam
Chirang,Kokrajhar,Assam
Chirang,Buxa Tiger Reserve,Assam
Darrang,Hajo Satra,Assam
Darrang,Manikut Parbat,Assam
Darrang,Deosila Hill,Assam
Karbi Anglong,Langvaso River,Assam
Karbi Anglong,Longtarai Valley,Assam
Karbi Anglong,Whylyngkhar Village,Assam
Kamrup Metropolitan,Uzan Bazar,Assam
Kamrup Metropolitan,Deshbhakta Ratnakanta Handique Udyan,Assam
Kamrup Metropolitan,Brahmaputra Riverfront,Assam
Nalbari,Bordowa Than,Assam
Nalbari,Doul Govinda Temple,Assam
Nalbari,Jungeswar Temple,Assam
Goalpara,Golakganj,Assam
Goalpara,Bhalukpong,Assam
