district,site_name,state
Central Delhi,India Gate,Delhi
Central Delhi,Rashtrapati Bhavan,Delhi
Central Delhi,Connaught Place,Delhi
Central Delhi,National Museum,Delhi
Central Delhi,Gurudwara Bangla Sahib,Delhi
South Delhi,Qutub Minar,Delhi
South Delhi,Lotus Temple,Delhi
South Delhi,Humayun's Tomb,Delhi
South Delhi,Mehrauli Archaeological Park,Delhi
South Delhi,ISKCON Temple,Delhi
North Delhi,Majnu ka Tilla,Delhi
North Delhi,Coronation Park,Delhi
North Delhi,Kamla Nehru Ridge,Delhi
North Delhi,Mutiny Memorial,Delhi
North Delhi,Delhi University (North Campus),Delhi
East Delhi,Akshardham Temple,Delhi
East Delhi,Yamuna Sports Complex,Delhi
East Delhi,Shahdara Market,Delhi
East Delhi,Kalindi Kunj Park,Delhi
East Delhi,Sanatan Dharm Mandir,Delhi
West Delhi,Pacific Mall,Delhi
West Delhi,Delhi Haat Janakpuri,Delhi
West Delhi,Tilak Nagar Market,Delhi
West Delhi,Shri Laxmi Narayan Mandir,Delhi
West Delhi,Dilli Darwaza,Delhi
North East Delhi,Shahdara,Delhi
North East Delhi,Jagatpur Temple,Delhi
North East Delhi,Old Seelampur Market,Delhi
North East Delhi,Shyam Lal College,Delhi
North East Delhi,Chhota Bazaar,Delhi
North West Delhi,Adventure Island,Delhi
North West Delhi,Japanese Park,Delhi
North West Delhi,Metro Walk Mall,Delhi
North West Delhi,Swarn Jayanti Park,Delhi
North West Delhi,Delhi Technological University,Delhi
South East Delhi,Kalkaji Mandir,Delhi
South East Delhi,Nehru Place Market,Delhi
South East Delhi,Lotus Temple,Delhi
South East Delhi,Astha Kunj Park,Delhi
South East Delhi,Okhla Bird Sanctuary,Delhi
South West Delhi,Dwarka Sector 13 Park,Delhi
South West Delhi,Indira Gandhi International Airport,Delhi
South West Delhi,Air Force Museum,Delhi
South West Delhi,Dwarka District Park,Delhi
South West Delhi,ISKCON Dwarka,Delhi
New Delhi,Parliament House,Delhi
New Delhi,National Rail Museum,Delhi
New Delhi,Teen Murti Bhavan,Delhi
New Delhi,Nehru Memorial Museum,Delhi
New Delhi,Cathedral Church of the Redemption,Delhi
Shahdara,Shiv Mandir,Delhi
Shahdara,Shahdara Market,Delhi
Shahdara,Chhota Bazaar,Delhi
Shahdara,Krishna Nagar,Delhi
Shahdara,Geeta Colony Park,Delhi
