district,site_name,state
Ahmedabad,Sabarmati Ashram,Gujarat
Ahmedabad,Adalaj Stepwell,Gujarat
Ahmedabad,Sidi Saiyyed Mosque,Gujarat
Ahmedabad,Kankaria Lake,Gujarat
Ahmedabad,Bhadra Fort,Gujarat
Amreli,Gir Wildlife Sanctuary,Gujarat
Amreli,Dhari Ambardi Safari Park,Gujarat
Amreli,Pipavav,Gujarat
Amreli,Khijadiya Hanuman Temple,Gujarat
Amreli,Amreli Museum,Gujarat
Anand,Amul Dairy Museum,Gujarat
Anand,Karamsad Sardar Patel Memorial,Gujarat
Anand,Vadtal Swaminarayan Temple,Gujarat
Anand,Vadtal Lake,Gujarat
Anand,Sardar Patel University Heritage,Gujarat
Aravalli,Shamlaji Temple,Gujarat
Aravalli,Polo Forest,Gujarat
Aravalli,Khedbrahma Temple,Gujarat
Aravalli,Idar Fort,Gujarat
Aravalli,Taranga Hills,Gujarat
Banaskantha,Ambaji Temple,Gujarat
Banaskantha,Balaram Palace,Gujarat
Banaskantha,Jessore Sloth Bear Sanctuary,Gujarat
Banaskantha,Taranga Jain Temples,Gujarat
Banaskantha,Kumbhariyaji Jain Temple,Gujarat
Bharuch,Golden Bridge,Gujarat
Bharuch,Bhrigu Rishi Temple,Gujarat
Bharuch,Kabirvad,Gujarat
Bharuch,Nilkantheshwar Temple,Gujarat
Bharuch,Narmada Park,Gujarat
Bhavnagar,Palitana Temples,Gujarat
Bhavnagar,Velavadar Blackbuck National Park,Gujarat
Bhavnagar,Takhteshwar Temple,Gujarat
Bhavnagar,Nilambag Palace,Gujarat
Bhavnagar,Gaurishankar Lake,Gujarat
Botad,Salangpur Hanuman Temple,Gujarat
Botad,Gadhada Swaminarayan Temple,Gujarat
Botad,Ningala Mata Temple,Gujarat
Botad,Gadhada Museum,Gujarat
Botad,Gadhada Heritage Sites,Gujarat
Chhota Udaipur,Ratanmahal Sloth Bear Sanctuary,Gujarat
Chhota Udaipur,Jambughoda Wildlife Sanctuary,Gujarat
Chhota Udaipur,Kavant Tribal Museum,Gujarat
Chhota Udaipur,Kali Niketan Palace,Gujarat
Chhota Udaipur,Hafeshwar Temple,Gujarat
Dahod,Ratanmahal Wildlife Sanctuary,Gujarat
Dahod,Dahod Fort,Gujarat
Dahod,Bansda Mahadev Temple,Gujarat
Dahod,Bhuvaneshwar Shiva Temple,Gujarat
Dahod,Kundala Lake,Gujarat
Devbhoomi Dwarka,Dwarkadhish Temple,Gujarat
Devbhoomi Dwarka,Bet Dwarka,Gujarat
Devbhoomi Dwarka,Nageshwar Jyotirlinga,Gujarat
Devbhoomi Dwarka,Rukmini Devi Temple,Gujarat
Devbhoomi Dwarka,Shivrajpur Beach,Gujarat
Gandhinagar,Akshardham Temple,Gujarat
Gandhinagar,Adalaj Stepwell,Gujarat
Gandhinagar,Indroda Dinosaur Park,Gujarat
Gandhinagar,Sarita Udyan,Gujarat
Gandhinagar,Dandi Kutir,Gujarat
Gir Somnath,Somnath Temple,Gujarat
Gir Somnath,Gir National Park,Gujarat
Gir Somnath,Triveni Sangam,Gujarat
Gir Somnath,Bhalka Tirth,Gujarat
Gir Somnath,Chorwad Beach,Gujarat
Jamnagar,Lakhota Lake,Gujarat
Jamnagar,Lakhota Palace,Gujarat
Jamnagar,Marine National Park,Gujarat
Jamnagar,Pirotan Island,Gujarat
Jamnagar,Bala Hanuman Temple,Gujarat
Junagadh,Uparkot Fort,Gujarat
Junagadh,Girnar,Gujarat
Junagadh,Mahabat Maqbara,Gujarat
Junagadh,Ashoka Rock Edicts,Gujarat
Junagadh,Sakkarbaug Zoo,Gujarat
Kachchh,Rann of Kutch,Gujarat
Kachchh,Dholavira,Gujarat
Kachchh,Aina Mahal,Gujarat
Kachchh,Kutch Museum,Gujarat
Kachchh,Mandvi Beach,Gujarat
Kheda,Vadtal Swaminarayan Temple,Gujarat
Kheda,Santram Mandir Nadiad,Gujarat
Kheda,Galteshwar Temple,Gujarat
Kheda,Dakor Ranchhodraiji Temple,Gujarat
Kheda,Kheda Heritage Sites,Gujarat
Mahisagar,Lunawada Palace,Gujarat
Mahisagar,Kadana Dam,Gujarat
Mahisagar,Santrampur Fort,Gujarat
Mahisagar,Mahi River Ghats,Gujarat
Mahisagar,Balasinor Fossil Park,Gujarat
Mehsana,Modhera Sun Temple,Gujarat
Mehsana,Bahucharaji Temple,Gujarat
Mehsana,Thol Lake,Gujarat
Mehsana,Vadnagar,Gujarat
Mehsana,Rani ki Vav vicinity,Gujarat
Morbi,Morbi Palace,Gujarat
Morbi,Mani Mandir,Gujarat
Morbi,Julto Pul,Gujarat
Morbi,Wankaner Palace,Gujarat
Morbi,Machhu Dam,Gujarat
Narmada,Statue of Unity,Gujarat
Narmada,Shoolpaneshwar Wildlife Sanctuary,Gujarat
Narmada,Zarwani Waterfalls,Gujarat
Narmada,Garudeshwar Dutta Mandir,Gujarat
Narmada,Poicha Nilkanthdham,Gujarat
Navsari,Dandi,Gujarat
Navsari,Dandi Memorial,Gujarat
Navsari,Parsi Agiary Navsari,Gujarat
Navsari,Unai Hot Springs,Gujarat
Navsari,Jalalpore Heritage Sites,Gujarat
Panchmahal,Champaner-Pavagadh Archaeological Park,Gujarat
Panchmahal,Pavagadh Kalika Mata Temple,Gujarat
