district,site_name,state
Shimla,Kufri,Himachal Pradesh
Shimla,Jakhoo Temple,Himachal Pradesh
Kangra,Pragpur Heritage Village,Himachal Pradesh
Kangra,Kangra Fort,Himachal Pradesh
Kangra,Baijnath Temple,Himachal Pradesh
Mandi,Rewalsar Lake,Himachal Pradesh
Mandi,Kamrunag Temple,Himachal Pradesh
Kullu,Bijli Mahadev Temple,Himachal Pradesh
Kullu,Parvati Valley,Himachal Pradesh
Chamba,Bharmour,Himachal Pradesh
Chamba,Bajreshwari Temple,Himachal Pradesh
Lahaul and Spiti,Key Monastery,Himachal Pradesh
Lahaul and Spiti,Chandratal Lake,Himachal Pradesh
Kinnaur,Kalpa,Himachal Pradesh
Kinnaur,Sangla Valley,Himachal Pradesh
Sirmaur,Renuka Lake,Himachal Pradesh
Sirmaur,Shivalik Fossil Park,Himachal Pradesh
Solan,Kuthar Fort,Himachal Pradesh
Solan,Nalagarh Fort,Himachal Pradesh
Hamirpur,Baba Balak Nath Temple,Himachal Pradesh
Hamirpur,Nadaun Fort,Himachal Pradesh
Una,Chintpurni Temple,Himachal Pradesh
Una,Dera Baba Bharbhag Singh,Himachal Pradesh
Bilaspur,Watford Fort,Himachal Pradesh
Bilaspur,Gobind Sagar Lake,Himachal Pradesh
