district,site_name,state
Kupwara,Lolab Fort,Jammu and Kashmir
Kupwara,Sheikh Baba Behram Shrine,Jammu and Kashmir
Bandipora,Athwatoo Bandipora,Jammu and Kashmir
Bandipora,Tribal museum Aragam,Jammu and Kashmir
Baramulla,Pando Park,Jammu and Kashmir
Baramulla,Sugandesa Temple,Jammu and Kashmir
Ganderbal,Shri Amarnath Ji Cave,Jammu and Kashmir
Ganderbal,Kheer Bhawani Temple,Jammu and Kashmir
Anantnag,Martand Sun Temple,Jammu and Kashmir
Anantnag,Amarnath Cave,Jammu and Kashmir
Kishtwar,Qila Top,Jammu and Kashmir
Kishtwar,Chowgan,Jammu and Kashmir
Udhampur,Kiramchi,Jammu and Kashmir
Udhampur,Moungri Cave Shiv Mandir,Jammu and Kashmir
Samba,Samba Fort,Jammu and Kashmir
Samba,Mohargarh Fort,Jammu and Kashmir
Budgam,Khanpur Sarai Arches,Jammu and Kashmir
Budgam,Tosa Maidan,Jammu and Kashmir
Pulwama,Shikargah,Jammu and Kashmir
Pulwama,Payer Temple,Jammu and Kashmir
Shopian,Jamia Masjid Shopian,Jammu and Kashmir
Shopian,Kapalmochan Mandir,Jammu and Kashmir
Kulgam,Aharbal Waterfall,Jammu and Kashmir
Kulgam,Syed Simnania Shrine,Jammu and Kashmir
Rajouri,Dhanidhar Fort,Jammu and Kashmir
Rajouri,Shahdra Sharif,Jammu and Kashmir
Ramban,Ghora Gali,Jammu and Kashmir
Ramban,Naag Mandir,Jammu and Kashmir
Reasi,Bhimgarh Fort,Jammu and Kashmir
Reasi,Shiv Khori Shrine,Jammu and Kashmir
Kathua,Basohli Fort,Jammu and Kashmir
Kathua,Mural Art Temples,Jammu and Kashmir
Srinagar,Hazratbal Shrine,Jammu and Kashmir
Srinagar,Shankaracharya Temple,Jammu and Kashmir
Doda,Dessa Valley,Jammu and Kashmir
Doda,Padri,Jammu and Kashmir
Doda,Telli Garh,Jammu and Kashmir
Doda,Jai Valley,Jammu and Kashmir
Doda,Vasuki Naag Temple,Jammu and Kashmir
Doda,Gupt Ganga Temple,Jammu and Kashmir
Doda,Jamia Masjid Bhaderwah,Jammu and Kashmir
Doda,Shitla Mata Roshera,Jammu and Kashmir
Poonch,Poonch Fort,Jammu and Kashmir
Poonch,Shahnaz Sahib,Jammu and Kashmir
Poonch,Noori Chamb,Jammu and Kashmir
Poonch,Sawajian,Jammu and Kashmir
Poonch,Valley of Seven Lakes,Jammu and Kashmir
Leh,Leh Palace,Jammu and Kashmir
Leh,Stok Palace,Jammu and Kashmir
Leh,Hemis Monastery,Jammu and Kashmir
Leh,Alchi Monastery,Jammu and Kashmir
Leh,Thiksey Monastery,Jammu and Kashmir
