district,site_name,state
Bokaro,Bokaro Steel Plant,Jharkhand
Bokaro,Jawaharlal Nehru Biological Park,Jharkhand
Bokaro,Bokaro Lake,Jharkhand
Chatra,Jharkhand Palace,Jharkhand
Chatra,Lodh Falls,Jharkhand
Chatra,Tandwa Park,Jharkhand
Deoghar,Baidyanath Temple,Jharkhand
Deoghar,Trikuta Hill,Jharkhand
Deoghar,Naulakha Mandir,Jharkhand
Dhanbad,Topchanchi Lake,Jharkhand
Dhanbad,Panchet Dam,Jharkhand
Dhanbad,Jharia Coalfield,Jharkhand
Dumka,Maluti Temples,Jharkhand
Dumka,Hansdiha,Jharkhand
Dumka,Bantohon,Jharkhand
East Singhbhum,Chandil Dam,Jharkhand
East Singhbhum,Jamshedpur Golf Course,Jharkhand
East Singhbhum,Dimna Lake,Jharkhand
Garhwa,Garhwa Fort,Jharkhand
Garhwa,Khimdi,Jharkhand
Garhwa,Dubka Lake,Jharkhand
Giridih,Parasnath Hill,Jharkhand
Giridih,Khandoli Park,Jharkhand
Giridih,Usri Falls,Jharkhand
Godda,Rajmahal Hills,Jharkhand
Godda,Mandar Hill,Jharkhand
Godda,Deoha Baba Temple,Jharkhand
Gumla,Palkot,Jharkhand
Gumla,Bellu,Jharkhand
Gumla,Punjwar,Jharkhand
Hazaribagh,Hazaribagh National Park,Jharkhand
Hazaribagh,Patratu Valley,Jharkhand
Hazaribagh,Jonha Falls,Jharkhand
Jamtara,Jamtara Fort,Jharkhand
Jamtara,Maa Kali Mandir,Jharkhand
Jamtara,Dhaldoli,Jharkhand
Khunti,Khunti Hill,Jharkhand
Khunti,Pahari Temple,Jharkhand
Khunti,Kalikuth Temple,Jharkhand
Koderma,Koderma Fort,Jharkhand
Koderma,Panchet Dam,Jharkhand
Koderma,Jhumri Telaiya,Jharkhand
Latehar,Betla National Park,Jharkhand
Latehar,Garh Panchkot,Jharkhand
Latehar,Lodh Falls,Jharkhand
Lohardaga,Lohardaga Hill,Jharkhand
Lohardaga,Saplapani Falls,Jharkhand
Lohardaga,Mahadeo Mandir,Jharkhand
Pakur,Pakur Raj,Jharkhand
Pakur,Karpoora Mandir,Jharkhand
Pakur,Brindaban Mandir,Jharkhand
Palamu,Palamu Fort,Jharkhand
Palamu,Upper Ghagra Waterfalls,Jharkhand
Palamu,Betla National Park,Jharkhand
Ramgarh,Ramgarh Fort,Jharkhand
Ramgarh,Rajrappa Temple,Jharkhand
Ramgarh,Dhori Dam,Jharkhand
Ranchi,Tagore Hill,Jharkhand
Ranchi,Birsa Zoological Park,Jharkhand
Ranchi,Dassam Falls,Jharkhand
Sahebganj,Rajmahal Hills,Jharkhand
Sahebganj,Moti Jharna Falls,Jharkhand
Sahebganj,Sahibganj Fort,Jharkhand
Saraikela Kharsawan,Saraikela Palace,Jharkhand
Saraikela Kharsawan,Kundlitala Palace,Jharkhand
Saraikela Kharsawan,Pabumali Temple,Jharkhand
Simdega,Simdega Fort,Jharkhand
Simdega,Palkot Fort,Jharkhand
Simdega,Barudih Lake,Jharkhand
West Singhbhum,Ghatshila Waterfalls,Jharkhand
West Singhbhum,Rankini Temple,Jharkhand
West Singhbhum,Jagannathpur Palace,Jharkhand
