district,site_name,state
Pune,Shaniwar Wada,Maharashtra
Pune,Aga Khan Palace,Maharashtra
Pune,Sinhagad Fort,Maharashtra
Pune,Osho Ashram,Maharashtra
Pune,Pataleshwar Cave,Maharashtra
Aurangabad,Ajanta Caves,Maharashtra
Aurangabad,Daulatabad Fort,Maharashtra
Aurangabad,Bibi Ka Maqbara,Maharashtra
Aurangabad,Panchakki,Maharashtra
Nashik,Trimbakeshwar Temple,Maharashtra
Nashik,Sula Vineyards,Maharashtra
Nashik,Pandavleni Caves,Maharashtra
Nashik,Anjneri Hill,Maharashtra
Nashik,Kalaram Temple,Maharashtra
Mumbai,Gateway of India,Maharashtra
Mumbai,Elephanta Caves,Maharashtra
Mumbai,Marine Drive,Maharashtra
Mumbai,Chhatrapati Shivaji Terminus,Maharashtra
Mumbai,Haji Ali Dargah,Maharashtra
Raigad,Raigad Fort,Maharashtra
Raigad,Murud-Janjira Fort,Maharashtra
Raigad,Alibaug Beach,Maharashtra
Raigad,Kuda Caves,Maharashtra
Raigad,Konkan Kranti Mandal,Maharashtra
Satara,Mahabaleshwar,Maharashtra
Satara,Panchgani,Maharashtra
Satara,Kaas Plateau,Maharashtra
Satara,Sajjangad Fort,Maharashtra
Satara,Thoseghar Waterfalls,Maharashtra
Kolhapur,Mahalaxmi Temple,Maharashtra
Kolhapur,Panhala Fort,Maharashtra
Kolhapur,Jyotiba Temple,Maharashtra
Kolhapur,Rankala Lake,Maharashtra
Kolhapur,New Palace Museum,Maharashtra
Ahmednagar,Ahmednagar Fort,Maharashtra
Ahmednagar,Shirdi Sai Baba Temple,Maharashtra
Ahmednagar,Harishchandragad Fort,Maharashtra
Ahmednagar,Bhandardara Dam,Maharashtra
Ahmednagar,Kalsubai Peak,Maharashtra
Akola,Ambadevi Temple,Maharashtra
Akola,Melghat Tiger Reserve,Maharashtra
Akola,Balaji Mandir,Maharashtra
Akola,Akola Fort,Maharashtra
Akola,PDKV Botanical Gardens,Maharashtra
Amravati,Chandur Devi Temple,Maharashtra
Amravati,Pus Dam,Maharashtra
Amravati,Melghat Tiger Reserve,Maharashtra
Amravati,Sant Gadge Maharaj Temple,Maharashtra
Amravati,Gautala Autramghat Wildlife Sanctuary,Maharashtra
Beed,Kankaleshwar Temple,Maharashtra
Beed,Balaghat Fort,Maharashtra
Beed,Kaij Fort,Maharashtra
Beed,Siddheshwar Temple,Maharashtra
Beed,Jainteshwar Mandir,Maharashtra
Bhandara,Gomai River,Maharashtra
Bhandara,Navegaon National Park,Maharashtra
Bhandara,Danteshwari Temple,Maharashtra
Bhandara,Bhandara Fort,Maharashtra
Bhandara,Bhandareshwar Caves,Maharashtra
Buldhana,Ajanta Caves (nearby),Maharashtra
Buldhana,Lonar Crater Lake,Maharashtra
Buldhana,Rajur Fort,Maharashtra
Buldhana,Chikhli,Maharashtra
Buldhana,Shegaon,Maharashtra
Chandrapur,Tadoba Andhari Tiger Reserve,Maharashtra
Chandrapur,Mahakali Mandir,Maharashtra
Chandrapur,Ambhora Caves,Maharashtra
Chandrapur,Chandrapur Fort,Maharashtra
Chandrapur,Navchanda Temple,Maharashtra
Dhule,Unapdev Hot Water Spring,Maharashtra
Dhule,Khandesh Museum,Maharashtra
Dhule,Songir Fort,Maharashtra
Dhule,Malangaon,Maharashtra
Dhule,Panzara Dam,Maharashtra
Gadchiroli,Indravati National Park,Maharashtra
Gadchiroli,Lanji Caves,Maharashtra
Gadchiroli,Triveni Dham,Maharashtra
Gadchiroli,Bhamragad,Maharashtra
Gadchiroli,Tadoba Forest,Maharashtra
Gondia,Gorewada Lake,Maharashtra
Gondia,Tadoba Andhari Tiger Reserve (nearby),Maharashtra
Gondia,Navegaon National Park (nearby),Maharashtra
Gondia,Itwar Lake,Maharashtra
Gondia,Devhamoda Temple,Maharashtra
Hingoli,Yeldari Dam,Maharashtra
Hingoli,Kharosa Caves,Maharashtra
Hingoli,Hingoli Fort,Maharashtra
Hingoli,Aundha Nagnath Temple,Maharashtra
Hingoli,Basmat Lake,Maharashtra
Jalgaon,Janta Bazaar,Maharashtra
Jalgaon,Khandesh College Campus,Maharashtra
Jalgaon,Ajanta Caves (nearby),Maharashtra
Jalgaon,Pandit Nehru Garden,Maharashtra
Jalgaon,Bhusaval Railway Station,Maharashtra
Jalna,Shri Mahanandeeshwar Temple,Maharashtra
Jalna,Baba Amra Nath Dargah,Maharashtra
Jalna,Jalna Fort,Maharashtra
Jalna,Harishchandrapur Lake,Maharashtra
Jalna,Narmada River,Maharashtra
Latur,Siddheshwar Temple,Maharashtra
Latur,Kharosa Caves,Maharashtra
Latur,Udgir Fort,Maharashtra
Latur,Ter,Maharashtra
Latur,Murud-Jhalgaon,Maharashtra
Mumbai,Gateway of India,Maharashtra
Mumbai,Marine Drive,Maharashtra
Mumbai,Chhatrapati Shivaji Maharaj Terminus,Maharashtra
Mumbai,Elephanta Caves,Maharashtra
Mumbai,Haji Ali Dargah,Maharashtra
Mumbai,Juhu Beach,Maharashtra
Mumbai,Sanjay Gandhi National Park,Maharashtra
Mumbai,Film City,Maharashtra
Mumbai,Versova Fort,Maharashtra
Mumbai,ISKCON Temple,Maharashtra
Nagpur,Deekshabhoomi,Maharashtra
Nagpur,Sitabuldi Fort,Maharashtra
Nagpur,Seminary Hills,Maharashtra
Nagpur,Maharajbagh Zoo,Maharashtra
Nagpur,Tigra Dam,Maharashtra
Nanded,Hazur Sahib,Maharashtra
Nanded,Kandhar Fort,Maharashtra
Nanded,Shri Nanded Akhada,Maharashtra
Nanded,Guru Gobind Singh Ji Memorial,Maharashtra
Nanded,Manikarnika Ghat,Maharashtra
Nandurbar,Toranmal Hill Station,Maharashtra
Nandurbar,Toranmal Wildlife Sanctuary,Maharashtra
Nandurbar,Sakkardara Falls,Maharashtra
Nandurbar,Jawahar Garden,Maharashtra
Nandurbar,Dahiwadi Fort,Maharashtra
Osmanabad,Dharashiv Caves,Maharashtra
Osmanabad,Naldurg Fort,Maharashtra
Osmanabad,Tuljapur,Maharashtra
Osmanabad,Solapur Fort,Maharashtra
Osmanabad,Bijapur Sun Temple,Maharashtra
Palghar,Dahanu Beach,Maharashtra
Palghar,Jawhar Hill Station,Maharashtra
Palghar,Arnala Fort,Maharashtra
Palghar,Vaghani Eco Tourism,Maharashtra
Palghar,Kelva Beach,Maharashtra
Parbhani,Siddheshwar Temple,Maharashtra
Parbhani,Kharda Fort,Maharashtra
Parbhani,Kandhi Devi Temple,Maharashtra
Parbhani,Chintamani Ganesh Temple,Maharashtra
Parbhani,Majalgaon Dam,Maharashtra
Ratnagiri,Ganpatipule Beach,Maharashtra
Ratnagiri,Ratnadurg Fort,Maharashtra
Ratnagiri,Jaigad Fort,Maharashtra
Ratnagiri,Thibaw Palace,Maharashtra
Ratnagiri,Pawas,Maharashtra
Sangli,Dandoba Hill,Maharashtra
Sangli,Sagareshwar,Maharashtra
Sangli,Miraj,Maharashtra
Sangli,Kurundwad Palace,Maharashtra
Sangli,Jaisingpura Fort,Maharashtra
Satara,Kaas Plateau,Maharashtra
Satara,Mahabaleshwar,Maharashtra
Satara,Sajjangad Fort,Maharashtra
Satara,Thoseghar Waterfalls,Maharashtra
Satara,Virgad Fort,Maharashtra
Sindhudurg,Sindhudurg Fort,Maharashtra
Sindhudurg,Tarkarli Beach,Maharashtra
Sindhudurg,Tarkarli Backwaters,Maharashtra
Sindhudurg,Radhanagri Wildlife Sanctuary,Maharashtra
Sindhudurg,Malvan,Maharashtra
Solapur,Siddheshwar Temple,Maharashtra
Solapur,Great Indian Bustard Sanctuary,Maharashtra
Solapur,Solapur Fort,Maharashtra
Solapur,Mallikarjun Temple,Maharashtra
Solapur,Siddheshwar Lake,Maharashtra
Thane,Upvan Lake,Maharashtra
Thane,Kelwa Beach,Maharashtra
