district,site_name,state
Bishnupur,Imphal War Cemetery,Manipur
Bishnupur,Bishnupur Temples,Manipur
Bishnupur,Loktak Lake,Manipur
Chandel,Khongsang,Manipur
Chandel,Yangoupokpi-Lokchao Wildlife Sanctuary,Manipur
Chandel,Toupokpi,Manipur
Churachandpur,Zou District Cultural Sites,Manipur
Churachandpur,Zomi Cultural Museum,Manipur
Churachandpur,Paite Tribal Heritage,Manipur
Imphal East,Kangla Fort,Manipur
Imphal East,Manipur State Museum,Manipur
Imphal East,Thangmeiband,Manipur
Imphal West,Ima Keithel Market,Manipur
Imphal West,Khuman Lampak,Manipur
Imphal West,Manipur Zoological Garden,Manipur
Jiribam,Jiribam Hills,Manipur
Jiribam,Tharon Cave,Manipur
Jiribam,Beautiful Streams,Manipur
Kakching,Kakching Garden,Manipur
Kakching,Ichum Lairembi Shrine,Manipur
Kakching,Langthabal,Manipur
Kamjong,Phungyar Hill,Manipur
Kamjong,Lainong Hill,Manipur
Kamjong,Langkak,Manipur
Kangpokpi,Sugnu,Manipur
Kangpokpi,Koirengei,Manipur
Kangpokpi,Maram Village,Manipur
Kakching,Ima Keithel,Manipur
Kakching,Khongjom War Memorial,Manipur
Kakching,Shaheed Minar,Manipur
Noney,Noney Hills,Manipur
Noney,Ngaloi Waterfalls,Manipur
Noney,Sovang Village,Manipur
Pherzawl,Pherzawl Lake,Manipur
Pherzawl,Rangkashang Village,Manipur
Pherzawl,Chandel Waterfalls,Manipur
Senapati,Willong,Manipur
Senapati,Stone Circles,Manipur
Senapati,Khuman Lampak,Manipur
Tamenglong,Dzukou Valley,Manipur
Tamenglong,Shirui Kashong Peak,Manipur
Tamenglong,Leimaram Waterfall,Manipur
Thoubal,Thoubal Fort,Manipur
Thoubal,Waithou Lake,Manipur
Thoubal,Keibul Lamjao National Park,Manipur
Ukhrul,Tangkhul Naga Tribal Sites,Manipur
Ukhrul,Shirui Lily Sanctuary,Manipur
Ukhrul,Phangrei Waterfall,Manipur
