district,site_name,state
East Garo Hills,Balpakram National Park,Meghalaya
East Garo Hills,Dawki River,Meghalaya
East Garo Hills,Siju Wildlife Sanctuary,Meghalaya
East Jaintia Hills,Nartiang Monoliths,Meghalaya
East Jaintia Hills,Dewlieh Falls,Meghalaya
East Jaintia Hills,Krem Phyllut,Meghalaya
East Khasi Hills,Shillong Peak,Meghalaya
East Khasi Hills,Don Bosco Museum,Meghalaya
East Khasi Hills,Laitlum Canyons,Meghalaya
Eastern West Khasi Hills,Nongkhnum Island,Meghalaya
Eastern West Khasi Hills,Duma Cave,Meghalaya
Eastern West Khasi Hills,Langshiang Falls,Meghalaya
North Garo Hills,Resubelpara,Meghalaya
North Garo Hills,Symper Shell Mound,Meghalaya
North Garo Hills,Songsak,Meghalaya
Ri Bhoi,Umiam Lake,Meghalaya
Ri Bhoi,Mawphlang Sacred Forest,Meghalaya
Ri Bhoi,Khasi Heritage Village,Meghalaya
South Garo Hills,Baghmara,Meghalaya
South Garo Hills,Balpakram National Park,Meghalaya
South Garo Hills,Selsella,Meghalaya
South West Khasi Hills,Mawkyrwat,Meghalaya
South West Khasi Hills,Kynsip Falls,Meghalaya
South West Khasi Hills,Nohwet Village,Meghalaya
West Garo Hills,Tura,Meghalaya
West Garo Hills,Siju Cave,Meghalaya
West Garo Hills,Nokrek Biosphere Reserve,Meghalaya
