district,site_name,state
Aizawl,Solomon's Temple,Mizoram
Aizawl,Mizoram State Museum,Mizoram
Aizawl,Durtlang Hills,Mizoram
Champhai,Rih Dil Lake,Mizoram
Champhai,Thasiama Seno Neihna,Mizoram
Champhai,Miangan Village,Mizoram
Hnahthial,Lungphun,Mizoram
Hnahthial,Lunglen Lal,Mizoram
Hnahthial,Saphaw,Mizoram
Khawzawl,Vaihing,Mizoram
Khawzawl,Rawnram Lung,Mizoram
Khawzawl,Chhimluang,Mizoram
Kolasib,Khadsawng,Mizoram
Kolasib,Sinlung,Mizoram
Kolasib,Baktawng,Mizoram
Lawngtlai,Reiek Heritage Village,Mizoram
Lawngtlai,Dampa Tiger Reserve,Mizoram
Lawngtlai,Lenchhip,Mizoram
Lunglei,Vantawng Falls,Mizoram
Lunglei,Phawngpui National Park,Mizoram
Lunglei,Falkawn Village,Mizoram
Mamit,Lengdeng,Mizoram
Mamit,Sailam,Mizoram
Mamit,Zawlpala,Mizoram
Saitual,Ralte Village,Mizoram
Saitual,Saitual Town,Mizoram
Saitual,Dikchang,Mizoram
Serchhip,Vantawng Falls,Mizoram
Serchhip,Thenzawl Deer Park,Mizoram
Serchhip,Thenzawl,Mizoram
