district,site_name,state
Chumoukedima,Dzukou Valley,Nagaland
Chumoukedima,Nagaland Zoological Park,Nagaland
Chumoukedima,Dimapur Waterfalls,Nagaland
Dimapur,Kachari Ruins,Nagaland
Dimapur,Triple Falls,Nagaland
Dimapur,Nagaland Science Centre,Nagaland
Kiphire,Henyai Waterfalls,Nagaland
Kiphire,Shilloi Lake,Nagaland
Kiphire,Amah Rock,Nagaland
Kohima,Kohima War Cemetery,Nagaland
Kohima,Kisama Heritage Village,Nagaland
Kohima,Khonoma Village,Nagaland
Longleng,Monyu Waterfall,Nagaland
Longleng,Changkikong Archaeological Site,Nagaland
Longleng,Meizu Peak,Nagaland
Meluri,Meluri Market,Nagaland
Meluri,Phom Palam Hill,Nagaland
Meluri,Shilloi Lake Viewpoint,Nagaland
Mokokchung,Mokokchung Village,Nagaland
Mokokchung,Longkhum Village,Nagaland
Mokokchung,Ao Heritage Museum,Nagaland
Mon,Mon District Tribal Villages,Nagaland
Mon,Nagaland Tribal Museum,Nagaland
Mon,Lonchu Village,Nagaland
Niuland,Niuland Tourist Spot,Nagaland
Niuland,Nilo Village,Nagaland
Niuland,Dikhu River,Nagaland
Noklak,Ghaspani Village,Nagaland
Noklak,Changlang,Nagaland
Noklak,Tsurangkong,Nagaland
Peren,Peren Wildlife Sanctuary,Nagaland
Peren,Mount Thongnyu,Nagaland
Peren,Lokho Village,Nagaland
Phek,Phek Village,Nagaland
Phek,Sekrenyi Festival,Nagaland
Phek,Kezekhu,Nagaland
Shamator,Shamator Heritage Site,Nagaland
Shamator,Shamator Park,Nagaland
Shamator,Shamator Market,Nagaland
Tuensang,Tuensang Monuments,Nagaland
Tuensang,Lapa Festival,Nagaland
Tuensang,Longkhum,Nagaland
Wokha,Wokha Cultural Museum,Nagaland
Wokha,Nagaland Bamboo Centre,Nagaland
Wokha,Naga Village,Nagaland
Zunheboto,Zunheboto Festival,Nagaland
Zunheboto,Longkhum Village,Nagaland
Zunheboto,Naga Village Park,Nagaland
