district,site_name,state
Angul,Deulajhari Hot Spring,Orissa
Angul,Satkosia Gorge,Orissa
Angul,Chandaka Wildlife Sanctuary,Orissa
Balangir,Harishankar Falls,Orissa
Balangir,Ranipur-Jharial,Orissa
Balangir,Sanskriti Bhawan,Orissa
Balasore,Chandipur Beach,Orissa
Balasore,Nilagiri Hills,Orissa
Balasore,Kaptipada Forest,Orissa
Bargarh,Samaleswari Temple,Orissa
Bargarh,Nrusinghanath Temple,Orissa
Bargarh,Sita Kund,Orissa
Bhadrak,Chandabali Beach,Orissa
Bhadrak,Kapileswar Temple,Orissa
Bhadrak,Taladanda Canal,Orissa
Boudh,Huma Jagannath Temple,Orissa
Boudh,Ranipur Jharial,Orissa
Boudh,Bimaleswar Temple,Orissa
Cuttack,Barabati Fort,Orissa
Cuttack,Maa Chandi Temple,Orissa
Cuttack,Banki Bazari,Orissa
Deogarh,Badheswar Temple,Orissa
Deogarh,Markandeswar Temple,Orissa
Deogarh,Mahadev Temple,Orissa
Dhenkanal,Kapilash Temple,Orissa
Dhenkanal,Chandanbala Waterfall,Orissa
Dhenkanal,Joranda Gadi,Orissa
Gajapati,Paralakhemundi,Orissa
Gajapati,Taptapani Hot Spring,Orissa
Gajapati,Padmasini Temple,Orissa
Ganjam,Dhauli,Orissa
Ganjam,Chilika Lake,Orissa
Ganjam,Taratarini Temple,Orissa
Jagatsinghpur,Paradip Beach,Orissa
Jagatsinghpur,Odagaon Temple,Orissa
Jagatsinghpur,Dhauli Peace Pagoda,Orissa
Jajpur,Biraja Temple,Orissa
Jajpur,Chandikhol Beach,Orissa
Jajpur,Keonjhar Hill,Orissa
Jharsuguda,Deuli Hill,Orissa
Jharsuguda,Rengali Dam,Orissa
Jharsuguda,Koilighugar Waterfall,Orissa
Kalahandi,Lanjigarh Fort,Orissa
Kalahandi,Ghatagaon Waterfall,Orissa
Kalahandi,Derjang Sanctuary,Orissa
Kandhamal,Phulbani Hill Station,Orissa
Kandhamal,Chitrakoot Falls,Orissa
Kandhamal,Tendulkar Temple,Orissa
Kendrapara,Chilika Lake,Orissa
Kendrapara,Dhinkia Waterfall,Orissa
Kendrapara,Kanika Palace,Orissa
Keonjhar,Koili Ghogha,Orissa
Keonjhar,Kanjipani Waterfall,Orissa
Keonjhar,Chandbali Beach,Orissa
Khordha,Ekamra Kshetra,Orissa
Khordha,Nandankanan Zoological Park,Orissa
Khordha,Bhairabi Temple,Orissa
Koraput,Debrigarh Wildlife Sanctuary,Orissa
Koraput,Jet waterfalls,Orissa
Koraput,Gupteshwar Cave,Orissa
Malkangiri,Caves of Malkangiri,Orissa
Malkangiri,Jeypore Fort,Orissa
Malkangiri,Chitrakonda Waterfalls,Orissa
Nabarangpur,Kundum Waterfall,Orissa
Nabarangpur,Sunabeda National Park,Orissa
Nabarangpur,Gupteswar Cave,Orissa
Nuapada,Harishankar Temple,Orissa
Nuapada,Chaitanya Sagar,Orissa
Nuapada,Sinapalli Waterfall,Orissa
Puri,Jagannath Temple,Orissa
Puri,Chilka Lake,Orissa
Puri,Konark Sun Temple,Orissa
Rayagada,Chatikona Waterfall,Orissa
Rayagada,Ghanteshwar Temple,Orissa
Rayagada,Gunupur Palace,Orissa
Sambalpur,Debrigarh Wildlife Sanctuary,Orissa
Sambalpur,Samaleswari Temple,Orissa
Sambalpur,Laikera Dam,Orissa
Subarnapur,Biraja Temple,Orissa
Subarnapur,Patali Srikhetra,Orissa
Subarnapur,Mukteswar Temple,Orissa
Sundargarh,Hirakud Dam,Orissa
Sundargarh,Khandadhar Waterfall,Orissa
Sundargarh,Lephripara Waterfall,Orissa
Devlali,Devlali Ashram,Orissa
Devlali,Brahmeswar Temple,Orissa
Devlali,Devlali Waterfall,Orissa
Jhumpura,Jhumpura Fort,Orissa
Jhumpura,Chandaneswar Temple,Orissa
Jhumpura,Kanoji Waterfall,Orissa
