district,site_name,state
Amritsar,Golden Temple,Punjab
Amritsar,Jallianwala Bagh,Punjab
Amritsar,Wagah Border,Punjab
Amritsar,Durgiana Temple,Punjab
Amritsar,Rambagh Gardens,Punjab
Barnala,Takkar Singh Fort,Punjab
Barnala,Fair Complex,Punjab
Barnala,Gurudwara Hargobind Sahib,Punjab
Barnala,Barnala Fort,Punjab
Barnala,Sangrur Royal Palace,Punjab
Bathinda,Qila Mubarak,Punjab
Bathinda,Bathinda Lake,Punjab
Bathinda,Guru Nanak Dev Thermal Plant,Punjab
Bathinda,Gurudwara Karim Purab,Punjab
Bathinda,Harike Wetland,Punjab
Faridkot,Gurudwara Godari Sahib,Punjab
Faridkot,Qila Faridkot,Punjab
Faridkot,Sikh Museum,Punjab
Faridkot,Sri Muktsar Sahib,Punjab
Faridkot,Fatehgarh Sahib,Punjab
Fatehgarh Sahib,Takht Sri Keshgarh Sahib,Punjab
Fatehgarh Sahib,Hazrat Sultan Syed Shahnawaz Ghazi Shrine,Punjab
Fatehgarh Sahib,Haveli Todar Mal,Punjab
Fatehgarh Sahib,Sirhind Fort,Punjab
Fatehgarh Sahib,Kila Fatehgarh,Punjab
Fazilka,Baba Makhdum Shah Shrine,Punjab
Fazilka,Gurudwara Sri Damdama Sahib,Punjab
Fazilka,Lohgarh Fort,Punjab
Fazilka,Fazilka Market,Punjab
Fazilka,Gangwala Lake,Punjab
Firozpur,Saragarhi Memorial,Punjab
Firozpur,Jain Swetambar Temple,Punjab
Firozpur,Gurudwara Sri Jaamani Sahib,Punjab
Firozpur,Harike Wetland,Punjab
Firozpur,Azad Gate,Punjab
Gurdaspur,Akal Takht,Punjab
Gurdaspur,Masjid-E-Ghousia,Punjab
Gurdaspur,Spirit of Gurdaspur Museum,Punjab
Gurdaspur,Ranjit Sagar Dam,Punjab
Gurdaspur,Batala Fort,Punjab
Hoshiarpur,Takht Sri Damdama Sahib,Punjab
Hoshiarpur,Harbanspura Garden,Punjab
Hoshiarpur,Sheesh Mahal,Punjab
Hoshiarpur,Bahu Fort,Punjab
Hoshiarpur,Janjua Fort,Punjab
Jalandhar,Pushpa Gujral Science City,Punjab
Jalandhar,Gurudwara Baba Atal Sahib,Punjab
Jalandhar,Sports Complex,Punjab
Jalandhar,Kila Raipur Sports Festival,Punjab
Jalandhar,Bir Khurampur Fort,Punjab
Kapurthala,Elysee Palace,Punjab
Kapurthala,Moorish Mosque,Punjab
Kapurthala,Jagatjit Palace,Punjab
Kapurthala,Rajinder Park,Punjab
Kapurthala,Gurudwara Ber Sahib,Punjab
Ludhiana,Chaura Bazaar,Punjab
Ludhiana,Sher Singh Park,Punjab
Ludhiana,Rurki Kasba,Punjab
Ludhiana,Rakh Bagh Park,Punjab
Ludhiana,Guru Nanak Bhawan,Punjab
Mansa,Gurudwara Mansa Devi,Punjab
Mansa,Mansa Fort,Punjab
Mansa,Harike Wetlands,Punjab
Mansa,Khiali Sahib,Punjab
Mansa,Government Museum,Punjab
Moga,Shri Guru Ka Tal,Punjab
Moga,Moga Fort,Punjab
Moga,Dargah Baba Ratan Wala,Punjab
Moga,Gurudwara Gangsar Sahib,Punjab
Moga,Toor Dera,Punjab
Muktsar Sahib,Gurudwara Sri Muktsar Sahib,Punjab
Muktsar Sahib,Palace of Sahibzada Ajit Singh,Punjab
Muktsar Sahib,Shri Guru Gobind Singh Park,Punjab
Muktsar Sahib,Gurudwara Tibbi Sahib,Punjab
Muktsar Sahib,Sultanpur Lodhi,Punjab
Pathankot,Ranjit Sagar Dam,Punjab
Pathankot,Shiv Mandir,Punjab
Pathankot,Bahadurpur Fort,Punjab
Pathankot,Gurdwara Chin Pal Sahib,Punjab
Pathankot,Solki Fort,Punjab
Patiala,Qila Mubarak,Punjab
Patiala,Moti Bagh Palace,Punjab
Patiala,Shedhal Sahib Gurudwara,Punjab
Patiala,Badshahi Bagh,Punjab
Patiala,Guru Nanak Bhawan,Punjab
Rupnagar,Sukhna Lake,Punjab
Rupnagar,Shivalik Fossil Park,Punjab
Rupnagar,Saketri Archaeological Site,Punjab
