district,site_name,state
Ajmer,Ajmer Sharif Dargah,Rajasthan
Ajmer,Anasagar Lake,Rajasthan
Ajmer,Adhai-din-ka-Jhonpra,Rajasthan
Ajmer,Akbari Fort & Museum,Rajasthan
Ajmer,Soniji Ki Nasiyan,Rajasthan
Alwar,Bala Quila,Rajasthan
Alwar,Siliserh Lake,Rajasthan
Alwar,Government Museum,Rajasthan
Alwar,Sariska Tiger Reserve,Rajasthan
Alwar,Moosi Maharani ki Chhatri,Rajasthan
Banswara,Bhil Tribal Museum,Rajasthan
Banswara,Tala Talai Lake,Rajasthan
Banswara,Ghatanji Temple,Rajasthan
Banswara,Artist Colony,Rajasthan
Banswara,Rathwa Tribal Museum,Rajasthan
Baran,Baran Fort,Rajasthan
Baran,Sitabadi Wildlife Sanctuary,Rajasthan
Baran,Bhandas River,Rajasthan
Baran,Amba Mata Temple,Rajasthan
Baran,Sukh Mahal,Rajasthan
Barmer,Jaisalmer Fort,Rajasthan
Barmer,Oasis of Khuri,Rajasthan
Barmer,Sadri Kilwara,Rajasthan
Barmer,Luni River,Rajasthan
Barmer,Barmer Tribal Museum,Rajasthan
Bharatpur,Bharatpur Bird Sanctuary,Rajasthan
Bharatpur,Lohagarh Fort,Rajasthan
Bharatpur,Deeg Palace,Rajasthan
Bharatpur,Rajiv Gandhi Park,Rajasthan
Bharatpur,Keoladeo Ghana National Park,Rajasthan
Bhilwara,Kumbhalgarh Fort,Rajasthan
Bhilwara,Rani Padmini Palace,Rajasthan
Bhilwara,Menal Waterfall,Rajasthan
Bhilwara,Sajjangarh Palace,Rajasthan
Bhilwara,Aravali Hills,Rajasthan
Bikaner,Junagarh Fort,Rajasthan
Bikaner,Karni Mata Temple,Rajasthan
Bikaner,Lalgarh Palace,Rajasthan
Bikaner,Sadul Museum,Rajasthan
Bikaner,Natani Talab,Rajasthan
Chittorgarh,Chittorgarh Fort,Rajasthan
Chittorgarh,Rani Padmini’s Palace,Rajasthan
Chittorgarh,Vijay Stambh,Rajasthan
Chittorgarh,Garh Palace,Rajasthan
Chittorgarh,Khumbhalgarh Wildlife Sanctuary,Rajasthan
Churu,Churu Fort,Rajasthan
Churu,Havelis of Churu,Rajasthan
Churu,Siraju Ki Haveli,Rajasthan
Churu,Gangamal,Rajasthan
Churu,Amarsagar Lake,Rajasthan
Dausa,Berach River,Rajasthan
Dausa,Abhaneri Stepwell,Rajasthan
Dausa,Hawa Mahal,Rajasthan
Dausa,Shiv Mandir,Rajasthan
Dausa,Kanch Ka Tibba,Rajasthan
Dholpur,Dholpur Fort,Rajasthan
Dholpur,Chhata Rai Balaji Temple,Rajasthan
Dholpur,Ghat Ki Guni,Rajasthan
Dholpur,Madhav National Park,Rajasthan
Dholpur,Timan Garh,Rajasthan
Dungarpur,Dungarpur Palace,Rajasthan
Dungarpur,Jain Temples of Dungarpur,Rajasthan
Dungarpur,Kunwararao Garden,Rajasthan
Dungarpur,Mansar Lake,Rajasthan
Dungarpur,Berach River,Rajasthan
Hanumangarh,Hanumangarh Fort,Rajasthan
Hanumangarh,Tibi Lake,Rajasthan
Hanumangarh,Pallu Village,Rajasthan
Hanumangarh,Baba Farid Tomb,Rajasthan
Hanumangarh,Kalibangan,Rajasthan
Jaipur,Amber Fort,Rajasthan
Jaipur,City Palace,Rajasthan
Jaipur,Hawa Mahal,Rajasthan
Jaipur,Jantar Mantar,Rajasthan
Jaipur,Nahargarh Fort,Rajasthan
Jaisalmer,Jaisalmer Fort,Rajasthan
Jaisalmer,Patwon ki Haveli,Rajasthan
Jaisalmer,Gadisar Lake,Rajasthan
Jaisalmer,Kuldhara Village,Rajasthan
Jaisalmer,Desert Safari,Rajasthan
Jalore,Jalore Fort,Rajasthan
Jalore,Bhadrakali Temple,Rajasthan
Jalore,Koteswar Mahadev Temple,Rajasthan
Jalore,Vijaynagar Lake,Rajasthan
Jalore,Tharad,Rajasthan
Jhalawar,Jhalawar Fort,Rajasthan
Jhalawar,Chaurasi Khamba,Rajasthan
Jhalawar,Raghunathgarh Wildlife Sanctuary,Rajasthan
Jhalawar,Sonar Talab,Rajasthan
Jhalawar,Sitamata Wildlife Sanctuary,Rajasthan
Jhunjhunu,Chandelao Fort,Rajasthan
Jhunjhunu,Rani Sati Temple,Rajasthan
Jhunjhunu,Mahansar Fort,Rajasthan
Jhunjhunu,Laxmangarh Fortress,Rajasthan
Jhunjhunu,Neelkanth Mahadev Temple,Rajasthan
Jodhpur,Mehrangarh Fort,Rajasthan
Jodhpur,Umaid Bhawan Palace,Rajasthan
Jodhpur,Jaswant Thada,Rajasthan
Jodhpur,Clock Tower and Sardar Market,Rajasthan
Jodhpur,Mandore Gardens,Rajasthan
Karauli,Karauli Fort,Rajasthan
Karauli,Charbhuja Temple,Rajasthan
Karauli,Anjani Mata Temple,Rajasthan
Karauli,Hemasagam Falls,Rajasthan
Karauli,Moonlight Garden,Rajasthan
Kota,Kota Barrage,Rajasthan
Kota,Kotah Garh Palace,Rajasthan
Kota,Tung Fort,Rajasthan
Kota,Jag Mandir,Rajasthan
Kota,Bundi Fort,Rajasthan
Nagaur,Nagaur Fort,Rajasthan
Nagaur,Meera Bai Temple,Rajasthan
Nagaur,Pushkar Fair,Rajasthan
Nagaur,Salim Singh Ki Haveli,Rajasthan
Nagaur,Khimsar Fort,Rajasthan
Pali,Run for Rs.10 Festival,Rajasthan
Pali,Jawai Leopard Reserve,Rajasthan
Pali,Om Banna Temple,Rajasthan
Pali,Balesar National Park,Rajasthan
Pali,Sadri Fort,Rajasthan
Rajsamand,Eklingji Temple,Rajasthan
Rajsamand,Rathambhore Fort,Rajasthan
Rajsamand,Kumbhalgarh Wildlife Sanctuary,Rajasthan
Rajsamand,Kumbhalgarh Fort,Rajasthan
Rajsamand,Deogarh Palace,Rajasthan
Sawai Madhopur,Ranthambore National Park,Rajasthan
Sawai Madhopur,Ranthambore Fort,Rajasthan
Sawai Madhopur,Sawai Madhopur Town,Rajasthan
Sawai Madhopur,Jawai Leopard Refuge,Rajasthan
Sawai Madhopur,Mansi Ganga Temple,Rajasthan
Sikar,Khatu Shyamji Temple,Rajasthan
Sikar,Fatehpur Sikri,Rajasthan
Sikar,Jhunjhunu Fort,Rajasthan
Sikar,Jeenmata Temple,Rajasthan
Sikar,Khatu Town,Rajasthan
Tonk,Tonk Fort,Rajasthan
Tonk,Anwar Khana,Rajasthan
Tonk,Shahi Jama Masjid,Rajasthan
Tonk,Bateshwar Temples,Rajasthan
Tonk,Jesaram Fort,Rajasthan
Udaipur,City Palace,Rajasthan
Udaipur,Lake Pichola,Rajasthan
Udaipur,Fateh Sagar Lake,Rajasthan
Udaipur,Jagdish Temple,Rajasthan
Udaipur,Sajjangarh Palace,Rajasthan
Vagada,Gogunda Lake,Rajasthan
Vagada,Jagmandir Island,Rajasthan
Vagada,Pushkar,Rajasthan
Vagada,Samber Lake,Rajasthan
Vagada,Kumbhalgarh Wildlife Sanctuary,Rajasthan
Bundi,Bundi Palace,Rajasthan
Bundi,Jagmandir Palace,Rajasthan
Bundi,Chaurasigarh Fort,Rajasthan
Bundi,Harauti Museum,Rajasthan
Bundi,Naravli Temple,Rajasthan
Dausa,Abhaneri Stepwell,Rajasthan
Dausa,Harshat Mata Temple,Rajasthan
Dausa,Khairthal Fort,Rajasthan
Dausa,Shiv Mandir,Rajasthan
Dausa,Meej Bridge,Rajasthan
Dungarpur,Dungarpur Palace,Rajasthan
Dungarpur,Jain Temples,Rajasthan
Dungarpur,Berach River,Rajasthan
Dungarpur,Mansar Lake,Rajasthan
Dungarpur,Kunwararao Garden,Rajasthan
Jalore,Jalore Fort,Rajasthan
Jalore,Shri Bhadreshwar Jain Temple,Rajasthan
Jalore,Kanore Lake,Rajasthan
Jalore,Baral Fort,Rajasthan
Jalore,Koteswar Mahadev Temple,Rajasthan
Sawai Madhopur,Ranthambore National Park,Rajasthan
Sawai Madhopur,Ranthambore Fort,Rajasthan
Sawai Madhopur,Jawai Leopard Sanctuary,Rajasthan
Sawai Madhopur,Mansi Ganga Temple,Rajasthan
Sawai Madhopur,Sawai Madhopur Town,Rajasthan
Tonk,Tonk Fort,Rajasthan
Tonk,Anwar Khana Palace,Rajasthan
Tonk,Shahi Jama Masjid,Rajasthan
Tonk,Bateshwar Temples,Rajasthan
Tonk,Jesaram Fort,Rajasthan
Ganganagar,Padampur Fort,Rajasthan
Ganganagar,Sri Ganganagar City Park,Rajasthan
Ganganagar,Babai Dev Temple,Rajasthan
Ganganagar,Rang Mahal,Rajasthan
Ganganagar,Anupgarh Fort,Rajasthan
Sirohi,Sirohi Fort,Rajasthan
Sirohi,Mount Abu,Rajasthan
Sirohi,Jain Temples of Dilwara,Rajasthan
Sirohi,Harshad Mata Temple,Rajasthan
Sirohi,Kumbhalgarh Wildlife Sanctuary,Rajasthan
Pratapgarh,Mahakaal Temple,Rajasthan
Pratapgarh,Rumkund,Rajasthan
Pratapgarh,Pratapgarh Palace,Rajasthan
Pratapgarh,Purana Fort,Rajasthan
Pratapgarh,Mehrangarh Wildlife Sanctuary,Rajasthan
