district,site_name,state
East Sikkim,Gangtok Rumtek Monastery,Sikkim
East Sikkim,Gangtok Tsomgo Lake,Sikkim
East Sikkim,Gangtok MG Marg,Sikkim
West Sikkim,Gyalshing Rabdentse Ruins,Sikkim
West Sikkim,Gyalshing Pemayangtse Monastery,Sikkim
West Sikkim,Gyalshing Sanga Choeling Monastery,Sikkim
North Sikkim,Mangan Dzongu,Sikkim
North Sikkim,Mangan Lachen Valley,Sikkim
North Sikkim,Mangan Lachung,Sikkim
South Sikkim,Namchi Char Dham,Sikkim
South Sikkim,Namchi Samdruptse Hill,Sikkim
South Sikkim,Namchi Tendong Hill,Sikkim
South Sikkim,Pakyong Kanchenjunga National Park,Sikkim
South Sikkim,Pakyong Temi Tea Garden,Sikkim
South Sikkim,Pakyong Ranka Monastery,Sikkim
West Sikkim,Soreng Barsey Rhododendron Sanctuary,Sikkim
West Sikkim,Soreng Stairway to Heaven,Sikkim
West Sikkim,Soreng Rahuney Cave,Sikkim
West Sikkim,Pine Forest,Sikkim
