district,site_name,state
Chennai,Kapaleeshwarar Temple,Tamil Nadu
Chennai,Fort St. George,Tamil Nadu
Chennai,Government Museum,Tamil Nadu
Chennai,Marina Beach,Tamil Nadu
Chennai,[translate:ஸ்ரீ பர்தசாரதி கோவில்],Tamil Nadu
Chennai,Arignar Anna Zoological Park,Tamil Nadu
Chennai,San Thome Basilica,Tamil Nadu
Madurai,Meenakshi Amman Temple,Tamil Nadu
Madurai,Tirumalai Nayak Palace,Tamil Nadu
Madurai,Gandhi Memorial Museum,Tamil Nadu
Madurai,Koodal Azhagar Temple,Tamil Nadu
Madurai,Alagar Kovil,Tamil Nadu
Madurai,[translate:திருப்பரங்குன்றம் முருகன் கோவில்],Tamil Nadu
Madurai,Pazhamudircholai,Tamil Nadu
Thanjavur,Brihadeeswarar Temple,Tamil Nadu
Thanjavur,Thanjavur Royal Palace,Tamil Nadu
Thanjavur,Saraswathi Mahal Library,Tamil Nadu
Thanjavur,Airavatesvara Temple,Tamil Nadu
Thanjavur,Gangaikonda Cholapuram,Tamil Nadu
Thanjavur,Swamimalai Murugan Temple,Tamil Nadu
Thanjavur,Thiruvaiyaru Ayyanar Temple,Tamil Nadu
Coimbatore,Marudamalai Temple,Tamil Nadu
Coimbatore,Siruvani Waterfalls,Tamil Nadu
Coimbatore,Gangai Konda Chozhapuram,Tamil Nadu
Coimbatore,Perur Srikalahasti Temple,Tamil Nadu
Coimbatore,Anna Zoological Park,Tamil Nadu
Coimbatore,Black Thunder,Tamil Nadu
Coimbatore,Eachanari Vinayagar Temple,Tamil Nadu
Tiruchirappalli,Ranganathaswamy Temple,Tamil Nadu
Tiruchirappalli,Rockfort Temple,Tamil Nadu
Tiruchirappalli,Jambukeswarar Temple,Tamil Nadu
Tiruchirappalli,St. Lourdes Church,Tamil Nadu
Tiruchirappalli,Government Museum,Tamil Nadu
Tiruchirappalli,Peelamedu Murugan Temple,Tamil Nadu
Tiruchirappalli,Kallanai Dam,Tamil Nadu
Namakkal,Malaimalai Murugan Temple,Tamil Nadu
Namakkal,Rock Fort Temple,Tamil Nadu
Namakkal,Anjaneyar Temple,Tamil Nadu
Namakkal,Mariamman Temple,Tamil Nadu
Namakkal,Hogenakkal Falls,Tamil Nadu
Namakkal,Paramathi Velur Fort,Tamil Nadu
Namakkal,Aravankadu Tea Factory,Tamil Nadu
Erode,Kolli Hills,Tamil Nadu
Erode,Periyar Temple,Tamil Nadu
Erode,Thindal Murugan Temple,Tamil Nadu
Erode,Chennimalai Hill,Tamil Nadu
Erode,KRP Sugar Factory,Tamil Nadu
Erode,Avinashi Temple,Tamil Nadu
Erode,Veerappa Nayakkar Palayam,Tamil Nadu
Salem,Kottai Mariamman Temple,Tamil Nadu
Salem,Mettur Dam,Tamil Nadu
Salem,Yercaud Hills,Tamil Nadu
