district,site_name,state
Sangareddy,Medak Fort,Telangana
Sangareddy,Sri Raja Rajeshwara Swamy Temple,Telangana
Sangareddy,Sangareddy Lake,Telangana
Sangareddy,Sangareddy District Museum,Telangana
Sangareddy,Pocharam Wildlife Sanctuary,Telangana
Sangareddy,Kethaki Sangameshwara Temple,Telangana
Jayashankar Bhupalapally,Bogatha Waterfall,Telangana
Jayashankar Bhupalapally,Kaleshwar Mukteshwara Temple,Telangana
Jayashankar Bhupalapally,Ghanpur Temples (Kota Gullu),Telangana
Jayashankar Bhupalapally,Laknavaram Lake,Telangana
Jayashankar Bhupalapally,Medaram,Telangana
Jayashankar Bhupalapally,Mallur Shiva Temple,Telangana
Mahabubabad,Pillalamarri Banyan Tree,Telangana
Mahabubabad,Alampur Jogulamba Temple,Telangana
Mahabubabad,Gadwal Fort,Telangana
Mahabubabad,Koilsagar Dam,Telangana
Mahabubabad,Umamaheshwaram Temple,Telangana
Mahabubabad,Mallelatheertham Waterfalls,Telangana
Nalgonda,Devarakonda Fort,Telangana
Nalgonda,Ethipothala Falls,Telangana
Nalgonda,Yadagirigutta Temple,Telangana
Nalgonda,Bhuvanagiri Fort,Telangana
Nalgonda,Mir Alam Tank,Telangana
Nalgonda,Koilsagar Dam,Telangana
Medchal,Medchal Wildlife Sanctuary,Telangana
Medchal,Ramoji Film City,Telangana
Medchal,Keesaragutta Temple,Telangana
Medchal,Gandimaisamma Temple,Telangana
Medchal,Kapra Lake,Telangana
Medchal,Nizampet Lake,Telangana
Jogulamba Gadwal,Gadwal Fort,Telangana
Jogulamba Gadwal,Alampur Jogulamba Temple,Telangana
Jogulamba Gadwal,Mahanandi Temple,Telangana
Jogulamba Gadwal,Dindi Reservoir,Telangana
Jogulamba Gadwal,Koilkonda Fort,Telangana
Jogulamba Gadwal,Medak Fort,Telangana
Kamareddy,Ananthagiri Hills,Telangana
Kamareddy,Palair Lake,Telangana
Kamareddy,Kamareddy Fort,Telangana
Kamareddy,Siddulagutta Temple,Telangana
Kamareddy,Nizam Sagar Dam,Telangana
Karimnagar,Kondagattu Anjaneya Swamy Temple,Telangana
Karimnagar,Elgandal Fort,Telangana
Karimnagar,Lower Manair Dam,Telangana
Karimnagar,Vemulawada Temple,Telangana
Karimnagar,Malampalli,Telangana
Khammam,Khammam Fort,Telangana
Khammam,Bhadrachalam Temple,Telangana
Khammam,Parnasala,Telangana
Khammam,Lakaram Lake,Telangana
Khammam,Kinnerasani Wildlife Sanctuary,Telangana
Komaram Bheem,Kerameri Ghats,Telangana
Komaram Bheem,Kuntala Waterfalls,Telangana
Komaram Bheem,Kadam Dam,Telangana
Komaram Bheem,Asifabad Fort,Telangana
Komaram Bheem,Jainath Temple,Telangana
Komaram Bheem,Shiva Mallana Temple,Telangana
Medak,Medak Cathedral,Telangana
Medak,Medak Fort,Telangana
Medak,Pocharam Wildlife Sanctuary,Telangana
Medak,Edithanur Caves,Telangana
Medak,Wargal Saraswati Temple,Telangana
Nizamabad,Nizamabad Fort,Telangana
Nizamabad,Pocharam Wildlife Sanctuary,Telangana
Nizamabad,Alisagar Reservoir,Telangana
Nizamabad,Archaeological and Heritage Museum,Telangana
Nizamabad,Kanteshwar Temple,Telangana
Peddapalli,Sabitham Waterfalls,Telangana
Peddapalli,Dhulikatta Buddhist Stupa,Telangana
Peddapalli,Ramagiri Fort,Telangana
Peddapalli,Kamanpur Temple,Telangana
Peddapalli,NTPC Ramagundam,Telangana
Rajanna Sircilla,Kaleshwaram Temple,Telangana
Rajanna Sircilla,Kondagattu Anjaneya Swamy Temple,Telangana
Rajanna Sircilla,Pochampadu Dam,Telangana
Rajanna Sircilla,Vemulawada,Telangana
Rajanna Sircilla,Chinnagutta Wildlife Sanctuary,Telangana
Siddipet,Komati Cheruvu Suspension Bridge,Telangana
Siddipet,Glow Garden,Telangana
Siddipet,Medakamma Temple,Telangana
Siddipet,Kuntala Waterfalls,Telangana
Siddipet,Vemulawada,Telangana
Vikarabad,Ananthagiri Hills,Telangana
Vikarabad,Anantha Padmanabha Swamy Temple,Telangana
Vikarabad,Kotepally Reservoir,Telangana
Vikarabad,Osman Sagar Lake,Telangana
Vikarabad,Vikarabad Forest,Telangana
Vikarabad,Rajiv Gandhi National Park,Telangana
Nagarkurnool,Alampur Jogulamba Temple,Telangana
Nagarkurnool,Koilakuntla Koneru,Telangana
Nagarkurnool,Yaganti Temple,Telangana
Nagarkurnool,Bhongir Fort,Telangana
Nagarkurnool,Mehboob Sagar,Telangana
Nagarkurnool,Nallamala Forest,Telangana
Narayanpet,Kuntala Waterfall,Telangana
Narayanpet,Basara Saraswati Temple,Telangana
Narayanpet,Bhimeshwara Temple,Telangana
