district,site_name,state
Dhalai,Longtharai Mandir,Tripura
Dhalai,Kamaleswari Mandir,Tripura
Dhalai,Narkel Kunja,Tripura
Gomati,Tripura Sundari Temple,Tripura
Gomati,Udaipur Palaces,Tripura
Gomati,Dumboor Lake,Tripura
Khowai,Khowai Waterfall,Tripura
Khowai,Banamali Das Park,Tripura
Khowai,Teliamura,Tripura
North Tripura,Unakoti,Tripura
North Tripura,Shyamsundar Ashram,Tripura
North Tripura,Jampui Hills,Tripura
Sepahijala,Sepahijala Wildlife Sanctuary,Tripura
Sepahijala,Bison Reserve,Tripura
Sepahijala,Botanical Garden,Tripura
South Tripura,Pilak Archaeological Site,Tripura
South Tripura,Neermahal,Tripura
South Tripura,Bhubaneswari Temple,Tripura
Unakoti,Unakoti Rock Carvings,Tripura
Unakoti,Chabimura Rock Carvings,Tripura
Unakoti,Thakurani Temple,Tripura
West Tripura,Ujjayanta Palace,Tripura
West Tripura,Jagannath Temple,Tripura
West Tripura,Fourteen Goddess Temple,Tripura
