district,site_name,state
Agra,Taj Mahal,Uttar Pradesh
Agra,Agra Fort,Uttar Pradesh
Agra,Fatehpur Sikri,Uttar Pradesh
Varanasi,Kashi Vishwanath Temple,Uttar Pradesh
Varanasi,Sarnath,Uttar Pradesh
Varanasi,Ramnagar Fort,Uttar Pradesh
Lucknow,Bara Imambara,Uttar Pradesh
Lucknow,Rumi Darwaza,Uttar Pradesh
Lucknow,Residency,Uttar Pradesh
Jhansi,Jhansi Fort,Uttar Pradesh
Jhansi,Rani Mahal,Uttar Pradesh
Jhansi,Rani Lakshmi Bai Museum,Uttar Pradesh
Mathura,Govind Dev Temple,Uttar Pradesh
Mathura,Dwarkadhish Temple,Uttar Pradesh
Mathura,Bankey Bihari Temple,Uttar Pradesh
Kanpur,Jain Glass Temple,Uttar Pradesh
Kanpur,Green Park,Uttar Pradesh
Kanpur,Phool Bagh Park,Uttar Pradesh
Ayodhya,Ram Janmabhoomi,Uttar Pradesh
Ayodhya,Hanuman Garhi,Uttar Pradesh
Ayodhya,Kanak Bhawan,Uttar Pradesh
Prayagraj,Triveni Sangam,Uttar Pradesh
Prayagraj,Allahabad Fort,Uttar Pradesh
Prayagraj,Anand Bhavan,Uttar Pradesh
Meerut,St. John's Church,Uttar Pradesh
Meerut,Augarnath Temple,Uttar Pradesh
Meerut,Shahid Smarak,Uttar Pradesh
Bareilly,Alamgiri Gate,Uttar Pradesh
Bareilly,Tribal Fair,Uttar Pradesh
Bareilly,Fun City,Uttar Pradesh
Aligarh,Aligarh Fort,Uttar Pradesh
Aligarh,Sikandra Rao,Uttar Pradesh
Aligarh,Varshana Temple,Uttar Pradesh
Ghaziabad,City Forest,Uttar Pradesh
Ghaziabad,Swarn Jayanti Park,Uttar Pradesh
Ghaziabad,St. Thomas Church,Uttar Pradesh
Moradabad,Garhmukteshwar,Uttar Pradesh
Moradabad,Dilari,Uttar Pradesh
Moradabad,Moradabad Clock Tower,Uttar Pradesh
Bareilly,Fun City,Uttar Pradesh
Bareilly,Alamgiri Gate,Uttar Pradesh
Bareilly,Tribal Fair,Uttar Pradesh
Bulandshahr,Bharatpur Fort,Uttar Pradesh
Bulandshahr,City Park,Uttar Pradesh
Bulandshahr,Nawab Bada Nawab Ki Dargah,Uttar Pradesh
Firozabad,Firozabad Glass Museum,Uttar Pradesh
Firozabad,Fatehpur Sikri,Uttar Pradesh
Firozabad,Ganges River,Uttar Pradesh
Shahjahanpur,Shahjahanpur Fort,Uttar Pradesh
Shahjahanpur,Jama Masjid,Uttar Pradesh
Shahjahanpur,Sarda Barrage,Uttar Pradesh
Sitapur,Nimach Mandir,Uttar Pradesh
Sitapur,Sitapur Fort,Uttar Pradesh
Sitapur,Kundeshwar Mahadev Mandir,Uttar Pradesh
Barabanki,Hanuman Garhi,Uttar Pradesh
Barabanki,Makhdoom Ashraf,Uttar Pradesh
Barabanki,Dewa Sharif,Uttar Pradesh
Basti,Garhwa Mandir,Uttar Pradesh
Basti,Durga Mandir,Uttar Pradesh
Basti,Kateshwar Mahadev,Uttar Pradesh
Etah,Sikandarpur,Uttar Pradesh
Etah,Sharvani Temple,Uttar Pradesh
Etah,Rathore Park,Uttar Pradesh
Etawah,Sarsai Nawar,Uttar Pradesh
Etawah,Vijaygarh Fort,Uttar Pradesh
Etawah,Narwahi Dam,Uttar Pradesh
Farrukhabad,Kamala Mills,Uttar Pradesh
Farrukhabad,Lucknow Gate,Uttar Pradesh
Farrukhabad,Sursagar Lake,Uttar Pradesh
Faizabad,Kanak Bhawan,Uttar Pradesh
Faizabad,Sita Ki Rasoi,Uttar Pradesh
Faizabad,Naimisharanya,Uttar Pradesh
Gautam Buddha Nagar,Worlds of Wonder,Uttar Pradesh
Gautam Buddha Nagar,The Great India Place,Uttar Pradesh
Gautam Buddha Nagar,Surajkund Mela,Uttar Pradesh
Ghazipur,Ghazipur Fort,Uttar Pradesh
Ghazipur,Sherpur Vacanicstle,Uttar Pradesh
Ghazipur,Kali Mandir,Uttar Pradesh
Gorakhpur,Gorakhnath Temple,Uttar Pradesh
Gorakhpur,Gita Press,Uttar Pradesh
Gorakhpur,Ramgarh Tal Lake,Uttar Pradesh
Hamirpur,Baba Balak Nath Temple,Uttar Pradesh
Hamirpur,Nadaun Fort,Uttar Pradesh
Hamirpur,Tundla Fort,Uttar Pradesh
Hardoi,Shri Ram Temple,Uttar Pradesh
Hardoi,Kot Bagh,Uttar Pradesh
Hardoi,Nawabganj Bird Sanctuary,Uttar Pradesh
Hathras,Purdil Nagar,Uttar Pradesh
Hathras,Sikandara Mahal,Uttar Pradesh
Hathras,Nayagaon Fort,Uttar Pradesh
Jalaun,Kalpi Fort,Uttar Pradesh
Jalaun,Girraj Mandir,Uttar Pradesh
Jalaun,Rani Laxmi Bai Smarak,Uttar Pradesh
Jaunpur,Shahi Bridge,Uttar Pradesh
Jaunpur,Shahi Qila,Uttar Pradesh
Jaunpur,Salar Masjid,Uttar Pradesh
Kannauj,Jain Temples,Uttar Pradesh
