district,site_name,state
Almora,Kausani,Uttarakhand
Almora,Bright End Corner,Uttarakhand
Almora,Nanda Devi Temple,Uttarakhand
Almora,Katarmal Sun Temple,Uttarakhand
Almora,Gobind Ballabh Pant Museum,Uttarakhand
Dehradun,Malsi Deer Park,Uttarakhand
Dehradun,Buddha Temple,Uttarakhand
Dehradun,Robber's Cave,Uttarakhand
Dehradun,Museum of Garhwal,Uttarakhand
Dehradun,Tapkeshwar Temple,Uttarakhand
Haridwar,Harmandir Sahib,Uttarakhand
Haridwar,Har Ki Pauri,Uttarakhand
Haridwar,Mansa Devi Temple,Uttarakhand
Haridwar,Chandi Devi Temple,Uttarakhand
Haridwar,Rajaji National Park,Uttarakhand
Nainital,Naini Lake,Uttarakhand
Nainital,Tiffin Top,Uttarakhand
Nainital,Snow View Point,Uttarakhand
Nainital,Bhimtal Lake,Uttarakhand
Nainital,Cave Garden,Uttarakhand
Rishikesh,Laxman Jhula,Uttarakhand
Rishikesh,Triveni Ghat,Uttarakhand
Rishikesh,Neer Garh Falls,Uttarakhand
Rishikesh,Beatles Ashram,Uttarakhand
Rishikesh,Sivananda Ashram,Uttarakhand
Kedarnath,Kedarnath Temple,Uttarakhand
Kedarnath,Chorabari Lake,Uttarakhand
Kedarnath,Vasuki Tal,Uttarakhand
Kedarnath,Bhojbasa Camp,Uttarakhand
Kedarnath,Tapovan,Uttarakhand
Uttarkashi,Nehrukund Waterfall,Uttarakhand
Uttarkashi,Maneri Dam,Uttarakhand
Uttarkashi,Kuteti Devi Temple,Uttarakhand
Uttarkashi,Blue Waterfalls,Uttarakhand
Uttarkashi,Uttarkashi Town,Uttarakhand
Chamoli,Badrinath Temple,Uttarakhand
Chamoli,Valley of Flowers,Uttarakhand
Chamoli,Gangotri Temple,Uttarakhand
Chamoli,Nandadevi National Park,Uttarakhand
Chamoli,Hemkund Sahib,Uttarakhand
Tehri,Tehri Dam,Uttarakhand
Tehri,Surkanda Devi Temple,Uttarakhand
Tehri,Chamba,Uttarakhand
Tehri,Kanatal,Uttarakhand
Tehri,Durga Devi Temple,Uttarakhand
Pithoragarh,Pithoragarh Fort,Uttarakhand
Pithoragarh,Munsyari,Uttarakhand
Pithoragarh,Bhonti Waterfall,Uttarakhand
Pithoragarh,Askot Sanctuary,Uttarakhand
Pithoragarh,Bhanupli Forest,Uttarakhand
Ranikhet,Ranikhet Town,Uttarakhand
Ranikhet,Mankameshwar Temple,Uttarakhand
Ranikhet,Cheena Peak,Uttarakhand
Ranikhet,Haidakhan Temple,Uttarakhand
Ranikhet,Botanical Garden,Uttarakhand
Udham Singh Nagar,Jim Corbett National Park,Uttarakhand
Udham Singh Nagar,Rudrapur,Uttarakhand
Udham Singh Nagar,Nanakmatta,Uttarakhand
Udham Singh Nagar,Kichha,Uttarakhand
Udham Singh Nagar,Chaugaon,Uttarakhand
Tehri Garhwal,Tehri Dam,Uttarakhand
Tehri Garhwal,Surkanda Devi Temple,Uttarakhand
Tehri Garhwal,Chamba,Uttarakhand
Tehri Garhwal,Kanatal,Uttarakhand
Tehri Garhwal,Durga Devi Temple,Uttarakhand
Rudraprayag,Rudranath Temple,Uttarakhand
Rudraprayag,Kalka Devi Temple,Uttarakhand
Rudraprayag,Rudraprayag Confluence,Uttarakhand
Rudraprayag,Garganta Waterfall,Uttarakhand
Rudraprayag,Brihat Jagar Nath Temple,Uttarakhand
Pauri Garhwal,Khirsu,Uttarakhand
Pauri Garhwal,Mukteshwar,Uttarakhand
Pauri Garhwal,St. Mary's Church,Uttarakhand
Pauri Garhwal,Binsar Wildlife Sanctuary,Uttarakhand
Pauri Garhwal,Bhavanath Temple,Uttarakhand
Bageshwar,Bhageshwar Temple,Uttarakhand
Bageshwar,Patal Bhuvaneshwar Caves,Uttarakhand
Bageshwar,Mallikarjun Temple,Uttarakhand
Bageshwar,Kandoliya Temple,Uttarakhand
Bageshwar,Big Bend Point,Uttarakhand
Champawat,Askot Sanctuary,Uttarakhand
Champawat,Patal Bhuvaneshwar,Uttarakhand
Champawat,Champawat Fort,Uttarakhand
Champawat,Kandali Festival,Uttarakhand
Champawat,Shani Temple,Uttarakhand
