district,site_name,state
Alipurduar,Jaldapara National Park,West Bengal
Alipurduar,Buxa Tiger Reserve,West Bengal
Alipurduar,Chapramari Wildlife Sanctuary,West Bengal
Bankura,Bishnupur Terracotta Temples,West Bengal
Bankura,Susunia Hills,West Bengal
Bankura,Joypur Forest,West Bengal
Birbhum,Bakreshwar Temple,West Bengal
Birbhum,Tarapith Temple,West Bengal
Birbhum,Shantiniketan,West Bengal
Cooch Behar,Cooch Behar Palace,West Bengal
Cooch Behar,Gorumara National Park,West Bengal
Cooch Behar,Samsing,West Bengal
Dakshin Dinajpur,Gangarampur Museum,West Bengal
Dakshin Dinajpur,Brahmanda Bhavan,West Bengal
Dakshin Dinajpur,Mahiyara Forest,West Bengal
Darjeeling,Darjeeling Himalayan Railway,West Bengal
Darjeeling,Tiger Hill,West Bengal
Darjeeling,Batasia Loop,West Bengal
Hooghly,Dewarhaat Market,West Bengal
Hooghly,Tarakeswar Temple,West Bengal
Hooghly,Bandel Church,West Bengal
Howrah,Dakshineswar Kali Temple,West Bengal
Howrah,Belur Math,West Bengal
Howrah,Botanical Garden,West Bengal
Jalpaiguri,Jaldapara Wildlife Sanctuary,West Bengal
Jalpaiguri,Chapramari Wildlife Sanctuary,West Bengal
Jalpaiguri,Gorumara National Park,West Bengal
Jhargram,Jhargram Rajbari,West Bengal
Jhargram,Bamnias Jungle Camp,West Bengal
Jhargram,Mandai Bamboo Craft Center,West Bengal
Kalimpong,Kalimpong Monastery,West Bengal
Kalimpong,Deolo Hill,West Bengal
Kalimpong,Rishi Dhara,West Bengal
Kolkata,Victoria Memorial,West Bengal
Kolkata,Indian Museum,West Bengal
Kolkata,Howrah Bridge,West Bengal
Malda,Adina Mosque,West Bengal
Malda,Gour,West Bengal
Malda,Dhaldighi Lake,West Bengal
Murshidabad,Hazarduari Palace,West Bengal
Murshidabad,Kathgola Palace,West Bengal
Murshidabad,Nizamat Imambara,West Bengal
Nadia,Krishnanagar Rajbari,West Bengal
Nadia,Mayapur,West Bengal
Nadia,Bandel Church,West Bengal
North 24 Parganas,Sundarbans National Park,West Bengal
North 24 Parganas,Bibhutibhushan Wildlife Sanctuary,West Bengal
North 24 Parganas,Botanical Garden,West Bengal
Paschim Bardhaman,Kankraisthan,West Bengal
Paschim Bardhaman,Khudaganj,West Bengal
Paschim Bardhaman,Rarh Museum,West Bengal
Paschim Medinipur,Pathra,West Bengal
Paschim Medinipur,Sherwood Park,West Bengal
Paschim Medinipur,Susunia Hills,West Bengal
Purba Bardhaman,Curzon Gate,West Bengal
Purba Bardhaman,108 Shiva Temples,West Bengal
Purba Bardhaman,Purbasthali Lake,West Bengal
Purba Medinipur,Digha,West Bengal
Purba Medinipur,Mandarmani,West Bengal
Purba Medinipur,Mahishadal Rajbari,West Bengal
Purulia,Ajodhya Hills,West Bengal
Purulia,Garh Panchkot,West Bengal
Purulia,Deulghata Temple,West Bengal
South 24 Parganas,Sundarbans National Park,West Bengal
South 24 Parganas,Canning,West Bengal
South 24 Parganas,Bakkhali,West Bengal
Uttar Dinajpur,Raiganj Wildlife Sanctuary,West Bengal
Uttar Dinajpur,Rajbari,West Bengal
Uttar Dinajpur,Mahinagar,West Bengal
Darjeeling,Rock Garden,West Bengal
Darjeeling,Bhutia Busty Monastery,West Bengal
Darjeeling,Lloyd Botanical Garden,West Bengal
